DB01356,hsa-mir-221
DB01076,hsa-mir-221
DB02901,hsa-mir-221
DB00169,hsa-mir-221
DB00295,hsa-mir-221
DB01169,hsa-mir-222
DB01076,hsa-mir-222
DB00773,hsa-mir-222
DB00544,hsa-mir-222
DB00526,hsa-mir-222
DB01268,hsa-mir-222
DB00398,hsa-mir-222
DB01645,hsa-mir-223
DB01577,hsa-mir-223
DB00755,hsa-mir-223
DB00544,hsa-mir-224
DB03843,hsa-mir-224
DB01076,hsa-mir-224
DB00544,hsa-mir-2355
DB00544,hsa-mir-23a
DB00467,hsa-mir-23a
DB00783,hsa-mir-23a
DB00603,hsa-mir-23a
DB00255,hsa-mir-23a
DB03843,hsa-mir-23a
DB00295,hsa-mir-23a
DB00322,hsa-mir-23a
DB00762,hsa-mir-23a
DB01030,hsa-mir-23a
DB00783,hsa-mir-23b
DB00603,hsa-mir-23b
DB00515,hsa-mir-23b
DB01262,hsa-mir-23b
DB03843,hsa-mir-23b
DB00544,hsa-mir-23b
DB01169,hsa-mir-23b
DB01128,hsa-mir-23b
DB00295,hsa-mir-23b
DB01262,hsa-mir-24
DB00544,hsa-mir-24
DB03843,hsa-mir-24
DB00322,hsa-mir-24
DB00762,hsa-mir-24
DB01030,hsa-mir-24
DB01169,hsa-mir-24
DB00853,hsa-mir-24
DB00295,hsa-mir-24
DB00441,hsa-mir-24-1
DB02546,hsa-mir-24-1
DB00898,hsa-mir-24-2
DB03285,hsa-mir-25
DB00544,hsa-mir-25
DB01262,hsa-mir-25
DB00255,hsa-mir-25
DB00526,hsa-mir-25
DB03843,hsa-mir-25
DB00898,hsa-mir-25
DB00255,hsa-mir-26a
DB00295,hsa-mir-26a
DB03843,hsa-mir-26a
DB00467,hsa-mir-26a
DB00331,hsa-mir-26a
DB00675,hsa-mir-26a
DB00169,hsa-mir-26a
DB00853,hsa-mir-26a
DB00441,hsa-mir-26a-1
DB00773,hsa-mir-26b
DB03843,hsa-mir-26b
DB00544,hsa-mir-26b
DB00482,hsa-mir-26b
DB00295,hsa-mir-26b
DB00898,hsa-mir-26b
DB01262,hsa-mir-27a
DB00783,hsa-mir-27a
DB01645,hsa-mir-27a
DB03843,hsa-mir-27a
DB00544,hsa-mir-27a
DB01234,hsa-mir-27a
DB00441,hsa-mir-27a
DB01229,hsa-mir-27a
DB00570,hsa-mir-27a
DB01169,hsa-mir-27a
DB00898,hsa-mir-27a
DB00544,hsa-mir-27b
DB00783,hsa-mir-27b
DB03843,hsa-mir-27b
DB00907,hsa-mir-27b
DB01234,hsa-mir-27b
DB00997,hsa-mir-27b
DB00472,hsa-mir-27b
DB01229,hsa-mir-27b
DB00570,hsa-mir-27b
DB01169,hsa-mir-27b
DB01262,hsa-mir-27b
DB00515,hsa-mir-27b
DB00136,hsa-mir-27b
DB00480,hsa-mir-27b
DB00396,hsa-mir-27b
DB03843,hsa-mir-28
DB01262,hsa-mir-28
DB00295,hsa-mir-28
DB01577,hsa-mir-28
DB00169,hsa-mir-28
DB00396,hsa-mir-29
DB00441,hsa-mir-299
DB02546,hsa-mir-299
DB00544,hsa-mir-299
DB00544,hsa-mir-29a
DB01262,hsa-mir-29a
DB02901,hsa-mir-29a
DB01169,hsa-mir-29a
DB00136,hsa-mir-29a
DB00526,hsa-mir-29a
DB00624,hsa-mir-29a
DB01262,hsa-mir-29b
DB02901,hsa-mir-29b
DB03843,hsa-mir-29b
DB00467,hsa-mir-29b
DB00396,hsa-mir-29b
DB00544,hsa-mir-29b-1
DB01229,hsa-mir-29c
DB00467,hsa-mir-29c
DB00396,hsa-mir-29c
DB00482,hsa-mir-29c
DB00480,hsa-mir-300
DB03843,hsa-mir-301
DB00396,hsa-mir-301a
DB00014,hsa-mir-301a
DB00445,hsa-mir-302b
DB00783,hsa-mir-302b
DB00136,hsa-mir-302c
DB01262,hsa-mir-302c
DB01586,hsa-mir-302d
DB00544,hsa-mir-302f
DB01169,hsa-mir-30a
DB00467,hsa-mir-30a
DB00544,hsa-mir-30a
DB00398,hsa-mir-30a
DB01229,hsa-mir-30a
DB01262,hsa-mir-30b
DB00783,hsa-mir-30b
DB00396,hsa-mir-30b
DB01128,hsa-mir-30b
DB00783,hsa-mir-30c
DB01169,hsa-mir-30c
DB00295,hsa-mir-30c
DB02546,hsa-mir-30c-1
DB00396,hsa-mir-30c-1
DB00544,hsa-mir-30c-2
DB00515,hsa-mir-30d
DB01128,hsa-mir-30d
DB00526,hsa-mir-30d
DB00467,hsa-mir-30e
DB00396,hsa-mir-30e
DB00544,hsa-mir-30e
DB02546,hsa-mir-30e
DB01262,hsa-mir-31
DB00544,hsa-mir-31
DB00313,hsa-mir-31
DB00467,hsa-mir-31
DB00515,hsa-mir-3125
DB00544,hsa-mir-3133
DB00544,hsa-mir-3134
DB00544,hsa-mir-3146
DB00544,hsa-mir-3149
DB00544,hsa-mir-3152
DB00544,hsa-mir-3153
DB00544,hsa-mir-3163
DB00544,hsa-mir-3167
DB00544,hsa-mir-3174
DB00544,hsa-mir-3192
DB02901,hsa-mir-32
DB00136,hsa-mir-32
DB01169,hsa-mir-32
DB00898,hsa-mir-32
DB00396,hsa-mir-32
